CASEID,W1_CASEID,W2_CASEID2,W1_F3,W1_F4_B,W1_F4_D,W1_F5_A,W1_F6,PPAGECAT,PPGENDER,PPMARIT,PPINCIMP,PPETHM
1,2,820,2,3,2,3,7,5,2,1,12,4
2,3, ,2,1,1,3,3,5,1,6,7,2
3,4,1198,5,2,1,3,7,3,1,1,15,2
4,5,240,4,1,1,1,5,6,1,5,6,2
5,6, ,4,2,1,2,7,3,2,5,15,1
6,7,350,2,1,1,2,5,1,1,5,13,1
7,8,926,6,1,1,2,7,4,1,1,15,2
8,9, ,4,1,1,1,4,1,2,6,2,1
9,10,845,2,2,1,3,6,3,2,3,10,1
10,11,15,3,2,1,3,7,4,1,3,16,1
11,12,645,-1,-1,-1,-1,-1,1,1,5,7,3
12,13,707,7,1,1,2,1,2,2,1,12,1
13,14,744,2,2,2,2,9,6,2,1,16,1
14,15, ,4,2,2,3,6,3,1,1,11,4
15,16,180,5,2,1,1,9,2,1,1,13,1
16,17,455,3,1,1,1,7,2,2,1,14,4
17,18, ,6,2,2,2,7,3,1,1,19,1
18,19,91,6,2,1,1,6,4,1,5,3,2
19,20, ,3,1,1,1,6,2,1,6,15,1
20,21,1461,2,2,2,3,7,5,1,1,11,2
21,22, ,3,-1,2,2,8,1,1,6,14,5
22,23,1376,5,3,2,1,8,5,2,2,6,2
23,24,470,4,1,1,2,2,5,1,3,4,2
24,25, ,1,2,2,1,8,7,2,1,13,1
25,26,271,-1,-1,-1,-1,-1,3,1,1,13,1
26,27,327,5,2,1,2,3,7,1,1,11,1
27,28,1060,3,2,2,2,7,5,1,6,11,1
28,29,494,2,3,3,3,9,5,2,1,19,1
29,30,865,2,2,2,3,8,4,2,1,16,2
30,31, ,4,1,1,1,5,3,2,6,11,2
31,32,1344,-1,-1,-1,-1,-1,3,1,4,11,1
32,33,312,2,2,1,1,8,5,2,3,13,1
33,34,232,3,2,1,2,7,6,1,1,12,2
34,35,34,2,2,2,3,8,5,2,1,12,1
35,36,1252,6,2,1,1,5,2,1,6,13,2
36,37, ,3,2,2,2,8,2,2,1,17,1
37,38,428,2,2,1,2,7,2,2,1,16,1
38,40, ,6,2,1,2,9,6,1,1,17,1
39,41,153,6,2,2,2,7,5,1,4,19,2
40,42,975,2,3,4,2,10,4,2,1,19,2
41,43,708,2,3,1,2,7,4,2,5,13,1
42,44,186,4,2,1,1,10,1,2,5,7,2
43,46,36,1,4,2,4,9,6,1,2,17,1
44,47,631,2,3,2,3,7,6,2,1,8,5
45,48,483,2,1,2,1,5,1,1,5,16,1
46,49,873,3,2,1,2,7,7,1,1,13,1
47,50,5,2,1,1,2,2,4,2,5,12,1
48,51, ,2,2,2,2,7,5,1,1,13,2
49,52,446,4,2,2,1,6,4,2,3,10,2
50,53,1658,3,1,1,1,5,3,2,1,17,1
51,55, ,3,3,4,4,7,2,1,1,16,2
52,56,351,1,3,3,4,10,6,1,1,17,1
53,57, ,5,2,1,2,7,1,1,5,11,2
54,58,262,2,2,1,2,8,3,2,4,4,2
55,59,889,2,2,2,4,6,5,2,1,13,4
56,60,616,7,1,1,1,4,5,2,2,12,2
57,61, ,3,2,1,1,7,2,1,5,11,2
58,62,282,4,4,4,1,10,5,1,1,15,3
59,63,827,2,2,2,2,6,6,1,1,8,1
60,64,1242,3,2,1,1,3,2,1,1,14,5
61,65,279,2,3,2,2,7,6,1,1,13,1
62,66,230,2,2,2,1,10,1,1,5,9,1
63,68,615,4,1,1,2,5,2,2,5,19,2
64,69,296,3,2,2,1,5,4,2,1,17,1
65,70,105,4,3,2,3,5,5,1,5,2,2
66,71,241,5,2,1,2,7,6,1,5,13,2
67,72,1141,3,2,2,3,6,1,2,5,15,4
68,73,1229,1,3,1,2,9,7,1,1,12,1
69,74,933,2,1,1,1,2,4,2,2,10,2
70,75,200,3,1,1,2,10,6,1,1,16,1
71,76,387,3,1,1,2,6,1,1,5,1,1
72,77, ,2,1,2,-1,7,7,1,1,6,2
73,78,27,3,3,2,3,7,5,2,1,19,2
74,79,391,4,1,2,2,6,1,1,5,8,2
75,80,696,3,1,1,2,8,2,2,1,16,1
76,81,227,3,2,2,1,6,1,1,5,3,1
77,82,546,6,2,1,2,6,4,1,1,16,2
78,83,207,6,2,-1,1,6,4,1,5,19,2
79,84,679,6,3,3,2,7,4,2,3,10,2
80,85,213,1,3,2,2,6,6,2,1,12,1
81,86,511,3,2,1,1,6,5,2,1,15,1
82,87,380,2,3,2,4,10,6,1,1,17,2
83,88,686,2,3,2,3,9,6,1,3,14,2
84,89,333,4,1,1,2,3,3,1,1,16,1
85,90, ,3,3,2,1,6,2,1,5,17,2
86,91, ,4,2,1,2,5,1,2,5,1,2
87,92,746,3,2,1,2,5,2,2,1,14,2
88,93,31,4,2,1,3,7,2,1,1,8,4
89,94,335,2,3,1,3,10,6,1,1,11,2
90,95,1415,1,2,1,2,5,3,1,1,13,4
91,96, ,7,2,1,1,8,4,2,3,14,1
92,97,841,4,2,1,1,5,6,2,1,13,1
93,98,291,3,3,3,2,10,4,2,1,19,1
94,99, ,2,3,3,3,8,1,2,5,1,2
95,100, ,5,2,1,2,7,4,1,5,11,2
96,101, ,4,2,1,3,6,1,2,1,1,2
97,102, ,3,4,3,1,8,5,1,1,19,2
98,103,930,1,2,2,2,8,2,1,1,13,4
99,104,303,2,3,2,3,7,5,1,3,12,4
100,105,520,-1,-1,-1,-1,-1,2,2,6,12,4
101,106,675,5,1,2,2,6,3,1,1,16,1
102,107,236,4,1,1,2,6,2,2,1,11,1
103,108,184,4,2,2,3,6,4,1,1,15,2
104,109,527,2,3,3,3,7,5,2,3,12,2
105,110,367,3,2,1,1,4,5,2,5,1,2
106,111,219,2,3,2,3,10,1,1,6,13,2
107,112,1047,4,2,1,2,6,4,1,6,9,2
108,113,849,2,2,1,2,8,6,2,2,8,2
109,114,49,3,2,2,2,6,3,1,6,14,2
110,115, ,4,1,1,1,7,5,2,1,1,1
111,116,614,3,1,1,1,9,6,1,1,16,1
112,117, ,4,3,3,2,5,3,1,1,10,3
113,119,1523,3,3,2,2,8,3,2,6,19,2
114,120,376,3,2,1,3,8,3,2,1,17,2
115,121,385,4,1,1,3,3,5,2,2,8,2
116,122,676,2,2,1,3,6,1,1,5,10,2
117,123,773,2,2,2,1,9,2,1,1,17,1
118,124,685,2,2,2,3,6,2,2,3,3,2
119,125,1340,6,2,4,4,7,1,2,5,10,1
120,126,266,3,2,1,2,6,5,1,1,18,1
121,127,112,3,1,2,1,8,2,2,5,4,2
122,128,904,3,1,1,1,7,6,1,1,8,1
123,129, ,4,1,1,1,4,2,2,5,4,2
124,130,843,7,2,2,3,7,3,1,5,3,2
125,131, ,1,3,1,3,7,2,2,6,1,2
126,132, ,7,1,1,1,5,3,2,1,18,2
127,133, ,1,4,4,4,9,2,2,5,7,2
128,134,506,1,2,2,3,9,6,2,1,13,1
129,135, ,4,1,1,2,5,1,2,5,1,2
130,136,177,2,1,1,2,7,5,1,6,13,4
131,137, ,5,2,1,1,4,1,2,5,6,2
132,138,170,3,2,2,3,10,5,2,3,18,2
133,139,243,2,2,2,2,6,6,1,5,15,1
134,140, ,2,3,3,2,10,5,1,1,16,2
135,141,349,3,1,1,1,6,1,2,1,9,2
136,142, ,3,2,2,3,5,5,2,2,7,2
137,143,426,7,3,2,2,9,5,1,3,9,2
138,144,721,3,2,1,2,5,2,1,6,11,1
139,145,121,6,2,1,2,3,1,2,5,11,2
140,146,59,4,1,1,2,3,6,2,5,12,2
141,147,1354,3,2,2,2,6,4,2,1,16,1
142,148,912,3,1,1,2,7,5,1,1,15,2
143,149, ,1,3,3,3,7,2,1,3,13,1
144,150,603,5,1,1,2,5,4,1,5,7,2
145,151,584,7,1,1,1,1,2,2,1,9,1
146,152, ,2,2,2,3,10,4,1,1,18,2
147,153,1393,1,3,3,3,10,7,1,1,12,2
148,154,16,2,2,1,4,10,4,1,1,19,1
149,155,115,2,4,1,2,7,7,2,2,7,1
150,156, ,6,2,1,2,7,4,1,5,13,2
151,157, ,1,3,2,4,9,2,2,5,1,2
152,158, ,2,3,2,3,8,5,1,3,14,1
153,159, ,1,3,3,4,9,5,2,1,17,1
154,160, ,2,1,1,2,2,3,1,1,11,1
155,161,206,5,2,1,2,6,4,1,5,14,3
156,162, ,3,1,1,1,5,6,2,1,12,1
157,163,740,3,1,1,1,3,3,1,5,2,1
158,164,799,3,1,1,2,6,5,2,1,9,1
159,165,763,4,1,1,3,8,5,2,3,12,2
160,166,613,1,3,3,2,9,7,1,1,14,1
161,167, ,2,2,1,3,7,1,2,1,12,4
162,168,1576,6,1,1,2,7,5,1,6,5,2
163,169,914,3,3,2,3,8,7,2,1,11,5
164,170, ,1,1,1,2,5,5,1,1,2,2
165,171, ,2,2,2,2,8,6,2,2,9,1
166,172,1244,2,2,1,3,6,5,1,1,17,2
167,173,104,4,3,2,3,7,4,1,1,16,1
168,175,187,-1,2,1,1,10,7,1,1,16,1
169,176,991,2,3,2,3,5,1,2,6,15,2
170,177, ,2,1,2,2,8,3,1,1,13,1
171,178,276,2,3,2,3,9,5,2,1,17,2
172,179, ,2,2,1,3,7,6,1,1,14,2
173,180,1568,2,1,1,-1,7,5,2,3,13,1
174,181,1234,6,3,2,2,9,5,2,5,4,2
